      Energy(eV)          TDOS
     -3.41850000      38.28900000
     -3.36850000      13.67570000
     -3.31850000      31.89270000
     -3.26850000      72.20330000
     -3.21850000     116.73620000
     -3.16850000     142.95500000
     -3.11850000     139.69230000
     -3.06850000     157.24900000
     -3.01850000     125.48770000
     -2.96850000      83.62660000
     -2.91850000      63.29980000
     -2.86850000      21.72420000
     -2.81850000       1.79550000
     -2.76850000       0.03440000
     -2.71850000       0.79620000
     -2.66850000      13.59400000
     -2.61850000      42.91150000
     -2.56850000      42.20970000
     -2.51850000      40.35090000
     -2.46850000      18.19700000
     -2.41850000       4.00200000
     -2.36850000      28.64200000
     -2.31850000      91.23500000
     -2.26850000      77.81070000
     -2.21850000      68.58330000
     -2.16850000      89.24180000
     -2.11850000      79.01250000
     -2.06850000      69.95000000
     -2.01850000      41.05750000
     -1.96850000      33.55180000
     -1.91850000      41.19970000
     -1.86850000      71.13750000
     -1.81850000     120.28310000
     -1.76850000      85.64970000
     -1.71850000      19.48190000
     -1.66850000       1.16170000
     -1.61850000       2.84990000
     -1.56850000      19.85260000
     -1.51850000      42.87830000
     -1.46850000      41.29060000
     -1.41850000      13.73570000
     -1.36850000      17.50240000
     -1.31850000      44.56100000
     -1.26850000      71.37980000
     -1.21850000     103.18600000
     -1.16850000      69.54870000
     -1.11850000     100.01000000
     -1.06850000      95.04760000
     -1.01850000      87.87370000
     -0.96850000      63.25750000
     -0.91850000      83.25500000
     -0.86850000     131.46420000
     -0.81850000     137.78840000
     -0.76850000     119.48690000
     -0.71850000     103.74970000
     -0.66850000      87.16140000
     -0.61850000      66.62210000
     -0.56850000     131.96450000
     -0.51850000     213.01330000
     -0.46850000     143.80090000
     -0.41850000     100.25810000
     -0.36850000     133.19760000
     -0.31850000     163.78490000
     -0.26850000     185.84630000
     -0.21850000     160.83040000
     -0.16850000     108.45590000
     -0.11850000      53.89190000
     -0.06850000      49.71040000
     -0.01850000      68.91470000
      0.03150000      51.24070000
      0.08150000      11.94490000
      0.13150000       0.57250000
      0.18150000       0.01130000
      0.23150000       0.73820000
      0.28150000      13.03060000
      0.33150000      40.45590000
      0.38150000      23.30470000
      0.43150000       2.42180000
      0.48150000       0.04190000
      0.53150000       0.00010000
      0.58150000       0.00000000
      0.63150000       0.00000000
      0.68150000       0.00000000
      0.73150000       0.00000000
      0.78150000       0.00010000
      0.83150000       0.05300000
      0.88150000       3.48000000
      0.93150000      38.98110000
      0.98150000      84.19830000
      1.03150000      57.70990000
      1.08150000      42.25060000
      1.13150000      12.58930000
      1.18150000       0.73050000
      1.23150000       0.00720000
      1.28150000       0.00460000
      1.33150000       0.46280000
      1.38150000       7.40450000
      1.43150000      20.63350000
      1.48150000      10.52990000
      1.53150000       0.95080000
      1.58150000       0.05160000
      1.63150000       1.76940000
      1.68150000      13.79280000
      1.73150000      19.27220000
      1.78150000       5.01160000
      1.83150000       3.38130000
      1.88150000      17.05770000
      1.93150000      16.64840000
      1.98150000       2.94120000
      2.03150000       0.08740000
      2.08150000       0.00070000
      2.13150000       0.07590000
      2.18150000       3.40510000
      2.23150000      28.27250000
      2.28150000      53.96380000
      2.33150000      35.94430000
      2.38150000      25.22490000
      2.43150000      17.35380000
      2.48150000      20.82230000
      2.53150000      13.29440000
      2.58150000       1.61040000
      2.63150000       0.03230000
      2.68150000       0.00020000
      2.73150000       0.02720000
      2.78150000       1.44880000
      2.83150000      12.69780000
      2.88150000      19.86490000
      2.93150000       5.67930000
      2.98150000       0.27970000
      3.03150000       0.00440000
      3.08150000       0.28330000
      3.13150000       5.71880000
      3.18150000      19.89070000
      3.23150000      12.64370000
      3.28150000       1.43430000
      3.33150000       0.02680000
      3.38150000       0.00010000
      3.43150000       0.00450000
      3.48150000       0.45580000
      3.53150000       7.34750000
      3.58150000      20.68830000
      3.63150000      13.39950000
      3.68150000      22.39230000
      3.73150000      37.66810000
      3.78150000      16.42070000
      3.83150000       1.59480000
      3.88150000       0.02920000
      3.93150000       0.14180000
      3.98150000       4.50900000
      4.03150000      27.74640000
      4.08150000      42.85950000
      4.13150000      44.11660000
      4.18150000      34.64100000
      4.23150000      22.19170000
      4.28150000      73.21640000
      4.33150000      82.22580000
      4.38150000      57.88800000
      4.43150000      37.20880000
      4.48150000      12.19110000
      4.53150000       1.05220000
      4.58150000       0.48480000
      4.63150000       7.45480000
      4.68150000      20.64630000
      4.73150000      10.51180000
      4.78150000       3.23470000
      4.83150000      24.98880000
      4.88150000      74.34000000
      4.93150000     116.19800000
      4.98150000     123.12770000
      5.03150000      79.47380000
      5.08150000      30.51840000
      5.13150000      39.00230000
      5.18150000      26.25900000
      5.23150000       3.67550000
      5.28150000       0.09470000
      5.33150000       0.00040000
      5.38150000       0.00000000
      5.43150000       0.00310000
      5.48150000       0.52800000
      5.53150000      14.53290000
      5.58150000      70.19710000
      5.63150000      63.64300000
      5.68150000      10.77710000
      5.73150000       0.31730000
      5.78150000       0.04330000
      5.83150000       2.46830000
      5.88150000      24.75870000
      5.93150000      52.09300000
      5.98150000      34.71420000
      6.03150000      32.82170000
      6.08150000      85.71880000
      6.13150000      71.48950000
      6.18150000      17.42740000
      6.23150000      16.07430000
      6.28150000      25.96250000
      6.33150000      36.85820000
      6.38150000      52.31660000
      6.43150000      64.62070000
      6.48150000     112.69540000
      6.53150000      77.95500000
