Time_aligned_s,VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
70.0,-14543.49117,-15323.25187,-21413.1094,-21413.1094,-16133.74016,-6425.900403,-11877.59872,-5146.614879,2,3
71.0,-14567.50236,-14886.60857,-20252.23816,-20252.23816,-15337.78443,-6482.619555,-11660.65946,-5121.605705,2,3
72.0,-14460.50246,-14635.3232,-19149.15632,-19149.15632,-14663.65792,-6520.340371,-11444.46062,-5087.682014,2,3
73.0,-14339.8161,-14297.43661,-18096.07131,-18096.07131,-14093.81981,-6538.332729,-11238.1362,-5041.97708,2,3
74.0,-14197.21332,-14003.37889,-17127.23893,-17127.23893,-13619.22637,-6541.849894,-11020.45071,-4990.812109,2,3
75.0,-14022.79652,-13729.2112,-16234.07098,-16234.07098,-13203.8874,-6530.372618,-10801.2903,-4936.724887,2,3
76.0,-13841.90719,-13463.20381,-15442.11428,-15442.11428,-12831.52685,-6508.193976,-10565.30973,-4881.83802,2,3
77.0,-13626.62446,-13198.15489,-14739.06884,-14739.06884,-12489.87591,-6473.559586,-10322.26359,-4826.365403,2,3
78.0,-13395.83058,-12953.46395,-14135.62059,-14135.62059,-12194.71119,-6424.383758,-10061.57365,-4770.509716,2,3
79.0,-13127.70223,-12706.93746,-13621.03387,-13621.03387,-11917.71712,-6361.291391,-9794.207723,-4712.63157,2,3
80.0,-12837.97237,-12471.10937,-13193.80024,-13193.80024,-11667.33293,-6285.598864,-9519.113091,-4654.101457,2,3
81.0,-12518.05675,-12233.23687,-12834.70102,-12834.70102,-11422.21512,-6196.338859,-9243.506369,-4592.069734,2,3
82.0,-12180.26535,-11992.25445,-12516.81052,-12516.81052,-11189.04293,-6097.41615,-8968.061058,-4528.724931,2,3
83.0,-11820.57359,-11739.9949,-12222.88766,-12222.88766,-10951.93324,-5991.699417,-8698.615445,-4463.477508,2,3
84.0,-11447.70511,-11476.52834,-11969.1381,-11969.1381,-10715.53275,-5883.635122,-8435.484864,-4397.366752,2,3
85.0,-11061.13821,-11197.52311,-11722.67137,-11722.67137,-10475.25234,-5773.826497,-8182.878833,-4330.374383,2,3
86.0,-10671.45164,-10905.65319,-11496.13365,-11496.13365,-10232.91788,-5664.799083,-7939.407343,-4263.082375,2,3
87.0,-10279.76198,-10599.56635,-11262.34955,-11262.34955,-9985.8898,-5554.924618,-7706.156644,-4195.080409,2,3
88.0,-9895.300985,-10288.5137,-11029.69094,-11029.69094,-9735.81112,-5446.87343,-7482.218628,-4127.121876,2,3
89.0,-9520.170625,-9974.735328,-10786.07444,-10786.07444,-9484.907713,-5339.180793,-7268.859481,-4059.165424,2,3
90.0,-9161.285368,-9665.857423,-10538.62371,-10538.62371,-9233.544719,-5232.976376,-7068.643625,-3992.550112,2,3
91.0,-8824.406058,-9367.200389,-10279.34049,-10279.34049,-8984.275084,-5127.552828,-6877.481455,-3925.510698,2,3
92.0,-8507.401917,-9073.732708,-10013.24006,-10013.24006,-8740.681928,-5024.099643,-6696.28931,-3859.609855,2,3
93.0,-8211.298933,-8792.062545,-9737.453821,-9737.453821,-8503.583265,-4922.872329,-6520.923695,-3793.06915,2,3
94.0,-7928.825877,-8515.842948,-9459.979899,-9459.979899,-8273.794707,-4825.746112,-6351.795689,-3726.996914,2,3
95.0,-7662.354675,-8249.431202,-9180.636976,-9180.636976,-8054.268561,-4730.454967,-6185.536429,-3659.741714,2,3
96.0,-7406.210333,-7986.592229,-8907.781396,-8907.781396,-7838.321084,-4638.336448,-6023.280447,-3591.903397,2,3
97.0,-7160.956611,-7731.178088,-8641.335796,-8641.335796,-7629.221,-4546.799643,-5862.606946,-3523.598845,2,3
98.0,-6926.489748,-7482.42767,-8386.406038,-8386.406038,-7421.026798,-4457.562386,-5705.666948,-3455.313792,2,3
99.0,-6702.855128,-7242.521096,-8148.431116,-8148.431116,-7218.268094,-4368.01515,-5551.916175,-3387.197262,2,3
100.0,-6490.77795,-7009.669298,-7924.244441,-7924.244441,-7014.568375,-4278.941219,-5405.598259,-3319.758982,2,3
101.0,-6291.421076,-6785.948841,-7713.992569,-7713.992569,-6814.575996,-4188.523706,-5260.009056,-3251.521948,2,3
102.0,-6098.305403,-6569.623412,-7510.259962,-7510.259962,-6616.500558,-4097.78875,-5120.188606,-3183.823739,2,3
103.0,-5915.277046,-6362.853399,-7315.019015,-7315.019015,-6422.307496,-4007.712019,-4982.387804,-3114.798162,2,3
104.0,-5736.043388,-6163.658119,-7122.684499,-7122.684499,-6230.714195,-3919.694156,-4850.611628,-3045.292618,2,3
105.0,-5564.051726,-5974.368642,-6933.939643,-6933.939643,-6044.877589,-3831.82996,-4720.679454,-2973.704506,2,3
106.0,-5393.561022,-5793.249123,-6748.976183,-6748.976183,-5863.231669,-3746.145792,-4595.768152,-2901.362277,2,3
