VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
-121.3089463,-307.0913993,-484.5042821,-484.5042821,-278.1123469,281.9182354,147.9122341,288.9913883,1,9
-67.94444563,-255.9943184,-431.8382297,-431.8382297,-225.698431,327.9983582,196.3919097,334.8282873,1,9
-14.32608887,-205.6650188,-377.8835008,-377.8835008,-173.910795,373.0845541,242.6358872,379.5444869,1,9
39.68099313,-156.2883811,-323.7848603,-323.7848603,-121.3118262,416.5777085,287.8830954,422.9148088,1,9
93.57465659,-108.1775699,-269.3689442,-269.3689442,-68.96905491,459.5918025,331.4800985,464.3628776,1,9
147.3656062,-61.77423083,-215.0585818,-215.0585818,-15.42576424,502.0190052,374.3077402,504.9807041,1,9
200.6893832,-15.73924862,-160.8073803,-160.8073803,38.26208041,543.8864486,416.5240393,544.291446,1,9
253.5428447,28.89324472,-106.8011249,-106.8011249,92.17116701,585.4702999,458.3130504,583.4370488,1,9
305.4806327,73.11950263,-53.09729935,-53.09729935,145.9307105,627.073267,500.0977977,621.7536469,1,9
356.4361357,115.6236336,-0.428898454,-0.428898454,199.5836119,668.9155989,542.0796039,660.0042764,1,9
406.1246228,156.2691769,51.20103605,51.20103605,252.726163,710.9180724,584.3186555,698.454961,1,9
454.6652933,194.7585992,101.3559804,101.3559804,305.4900575,752.4137657,626.657068,737.0041945,1,9
501.7329925,230.4105872,150.153642,150.153642,357.5061483,794.5826653,668.6693736,775.4615283,1,9
546.7054703,262.0781235,197.2620362,197.2620362,408.7454601,836.6670167,711.638925,813.6835906,1,9
590.5042259,290.0047593,242.1150593,242.1150593,458.8943147,879.8319313,754.3747112,851.2558296,1,9
632.9794038,313.9923291,285.8333496,285.8333496,508.067699,923.2561926,797.6141413,889.3487497,1,9
675.4338097,334.0361007,327.9218766,327.9218766,555.942495,966.9511663,840.7998073,927.3045309,1,9
717.6316673,349.7227864,369.5272739,369.5272739,601.9008898,1010.935595,883.9115657,965.9292018,1,9
759.4960048,360.7858934,410.5480507,410.5480507,646.954754,1055.282446,926.6790838,1004.467633,1,9
800.9998618,366.6987634,450.9374125,450.9374125,690.5189978,1099.669315,969.0603813,1043.835599,1,9
842.3445819,366.7284474,491.087861,491.087861,733.5883512,1144.009857,1010.765209,1083.439894,1,9
883.6632606,361.8204288,531.2251832,531.2251832,775.8056642,1188.055746,1051.893541,1123.045515,1,9
924.6480519,350.5064897,571.4772499,571.4772499,817.3898194,1231.723503,1092.29785,1162.270091,1,9
964.9899151,333.2995181,611.7376422,611.7376422,858.7026501,1274.774642,1132.181391,1201.165232,1,9
1005.818299,310.5951932,651.6431096,651.6431096,899.609095,1317.171257,1171.06392,1239.642885,1,9
1046.651151,283.9550391,692.440342,692.440342,940.2026473,1358.61509,1209.149004,1278.019027,1,9
1088.593481,253.920835,733.2415362,733.2415362,980.3444722,1398.45796,1246.852813,1316.194098,1,9
1130.565953,221.1186153,774.8301115,774.8301115,1019.744577,1437.665781,1283.559509,1354.047976,1,9
1172.536576,186.2448349,816.3131427,816.3131427,1059.5859,1475.646202,1320.069362,1391.540043,1,9
1214.267192,150.2735829,857.5301306,857.5301306,1099.129863,1513.185147,1355.810016,1428.770806,1,9
1256.021897,114.3285244,898.1609605,898.1609605,1139.547166,1550.179225,1391.547498,1465.69381,1,9
1297.597871,81.10844083,938.1758021,938.1758021,1180.109144,1586.667995,1426.879909,1501.525008,1,9
1338.890984,51.0778033,977.2909976,977.2909976,1221.367701,1622.730762,1462.559464,1536.995082,1,9
1379.867179,27.63193026,1015.54891,1015.54891,1263.194985,1658.611188,1498.233134,1571.630697,1,9
1420.618234,13.585247,1052.78694,1052.78694,1305.434346,1694.437808,1533.460445,1606.174963,1,9
1461.079473,13.09270031,1089.392093,1089.392093,1347.973208,1730.143834,1568.348139,1640.245302,1,9
1501.208397,28.87512546,1125.1724,1125.1724,1390.615845,1765.521655,1602.961212,1674.395283,1,9
1540.566736,64.48070911,1160.11811,1160.11811,1433.000715,1801.663711,1636.654668,1708.302059,1,9
1578.62456,123.5608281,1194.278142,1194.278142,1475.105311,1838.006698,1670.313631,1741.82188,1,9
1616.211041,210.6215058,1227.208192,1227.208192,1516.640649,1875.403882,1703.292928,1774.852837,1,9
1652.734713,330.2601664,1259.853291,1259.853291,1557.597375,1913.127742,1736.606796,1807.263141,1,9
1688.745962,487.4790131,1291.824058,1291.824058,1597.755537,1951.188509,1769.863483,1838.718124,1,9
1723.862102,687.0474205,1324.016753,1324.016753,1636.826157,1989.397713,1804.037416,1870.296425,1,9
1759.182234,935.5989909,1356.031231,1356.031231,1675.363213,2027.744703,1838.301557,1901.542768,1,9
1794.069328,1240.130515,1388.661811,1388.661811,1712.531279,2065.737894,1873.15524,1933.513614,1,9
1828.96581,1606.908689,1421.893951,1421.893951,1749.288802,2103.842706,1908.374959,1965.615982,1,9
1863.895208,2042.263639,1455.469193,1455.469193,1785.258212,2142.002515,1944.096749,1999.072493,1,9
1898.595869,2551.901946,1489.302532,1489.302532,1820.385315,2180.149944,1980.226181,2033.184641,1,9
1932.843727,3142.519279,1523.346971,1523.346971,1854.77271,2218.080899,2016.65689,2068.191316,1,9
1967.423276,3820.481605,1557.289002,1557.289002,1888.556254,2255.66895,2053.038514,2104.105012,1,9
2001.541003,4591.492769,1592.288551,1592.288551,1921.701076,2292.674758,2089.016297,2140.801844,1,9
2035.650232,5460.551138,1628.024794,1628.024794,1954.937592,2328.817119,2124.017059,2177.914852,1,9
2068.91849,6431.463356,1665.665715,1665.665715,1988.571433,2363.667585,2157.366651,2215.011319,1,9
2101.942315,7507.46002,1704.905878,1704.905878,2023.34322,2396.731775,2188.248734,2251.413189,1,9
2133.618672,8689.903002,1746.995938,1746.995938,2058.561405,2427.465936,2216.590981,2286.32122,1,9
2164.289515,9977.517456,1791.82464,1791.82464,2095.195452,2456.14937,2240.342909,2318.744796,1,9
2193.230654,11366.4759,1839.522513,1839.522513,2132.259058,2481.605015,2260.904798,2348.393686,1,9
2220.904764,12849.77969,1889.755907,1889.755907,2169.355334,2504.5779,2278.276649,2372.636753,1,9
2247.311847,14418.25256,1943.258384,1943.258384,2205.8942,2525.068025,2292.458462,2393.305379,1,9
2272.451902,16022.04808,2000.17441,2000.17441,2241.335149,2543.07539,2303.450237,2410.399564,1,9
2296.324929,17694.64292,2060.857024,2060.857024,2275.02518,2558.599996,46343.85617,2423.919308,1,9
56909.6609,19436.03709,2125.390566,2125.390566,2307.132459,15276.11435,46049.65466,2433.864611,1,9
54246.30211,21246.23058,2193.787025,2193.787025,2336.202014,15600.0512,45029.78932,13670.12498,1,9
51671.71402,23125.22339,2265.852705,2265.852705,2363.199155,15763.15595,43284.26013,13802.23949,1,9
49185.89664,44041.91574,2341.345202,2341.345202,2388.123883,15765.42862,40813.0671,13732.68266,1,9
46788.84997,43643.2877,2419.770833,2419.770833,2410.976197,15606.86921,37616.21023,13461.45449,1,9
44480.574,42875.72545,2500.547369,2500.547369,2431.756097,15287.4777,33178.33532,12988.55498,1,9
42591.8694,41739.22897,2582.88583,2582.88583,53781.75691,14785.25226,28187.52797,12313.98412,1,9
40677.46382,40233.79828,2666.602051,2666.602051,53869.20588,14130.22666,22881.33461,11331.66613,1,9
38563.02964,38359.43337,2748.363685,2748.363685,53211.18061,13326.72102,17467.22611,10184.64288,1,9
36079.86147,36084.43992,2830.364496,2830.364496,51807.68112,12384.57011,12138.16788,8917.656265,1,9
33114.60608,33455.61602,2912.604484,2912.604484,49658.70739,11311.98498,7047.950059,7576.098199,1,9
29625.82852,30453.81281,2995.08365,2995.08365,46764.25942,10123.85562,2325.448638,6199.060747,1,9
25620.60068,27088.40565,3077.801994,3077.801994,42725.42047,8835.238846,-1941.915487,4819.789545,1,9
21160.41509,23371.24197,41637.08484,41637.08484,38082.03196,7469.147861,-5695.158057,3467.35706,1,9
16385.97003,19351.94813,39430.19921,39430.19921,33000.74273,6049.604262,-8912.400034,2163.487334,1,9
11481.75239,15090.70531,36812.06226,36812.06226,27629.03094,4606.995574,-11593.9673,923.9781206,1,9
6687.515705,10685.27216,33782.67399,33782.67399,22120.8442,3171.932749,-13436.36216,-236.2273803,1,9
2041.350904,6246.478679,30342.03439,30342.03439,16606.60513,1778.441966,-14523.41683,-1306.807153,1,9
-2335.604141,1896.231985,26490.14347,26490.14347,11215.57998,456.7545226,-14996.57566,-2200.846826,1,9
-6357.749532,-2222.700307,21789.76284,21789.76284,6050.811569,-756.8390566,-15012.90354,-2930.305443,1,9
-9920.133944,-6027.953948,16826.71081,16826.71081,1207.04242,-1777.552825,-14769.70645,-3508.799033,1,9
-12926.80089,-9433.080291,11798.69928,11798.69928,-3246.181864,-2613.584496,-14423.39225,-3966.215366,1,9
-15305.11891,-12346.36706,6878.709911,6878.709911,-7250.275704,-3289.168362,-14131.07124,-4334.36049,1,9
-16798.034,-14693.94964,2225.660014,2225.660014,-10673.16232,-3828.256255,-13968.60155,-4648.423658,1,9
-17501.10776,-16213.24195,-2031.218939,-2031.218939,-13440.78258,-4272.635186,-13964.30593,-4939.246855,1,9
-17571.84732,-16996.27348,-5784.161215,-5784.161215,-15294.6704,-4655.914928,-14023.13663,-5229.841511,1,9
-17183.35713,-17168.80357,-8958.101327,-8958.101327,-16327.5325,-5017.307268,-13952.98515,-5521.893547,1,9
-16555.4508,-16897.1994,-11501.00332,-11501.00332,-16696.60318,-5375.428021,-13854.78723,-5799.443696,1,9
-15856.83922,-16378.48994,-13212.46401,-13212.46401,-16574.56388,-5738.330983,-13735.28351,-6013.488417,1,9
-15257.22573,-15768.44628,-14240.77815,-14240.77815,-16180.05245,-6080.975382,-13585.50589,-6193.943713,1,9
-14835.17907,-15208.18619,-14675.69729,-14675.69729,-15682.11991,-6350.371569,-13421.58162,-6337.693391,1,9
-14603.79496,-14795.10723,-14669.64287,-14669.64287,-15249.41538,-6578.669307,-13231.16727,-6451.721589,1,9
-14479.35345,-14547.36936,-14415.0018,-14415.0018,-14962.48761,-6769.073715,-13027.21623,-6536.905625,1,9
-14251.10009,-14390.85489,-14065.00773,-14065.00773,-14838.81191,-6916.307791,-12796.06915,-6598.16251,1,9
-14024.73049,-14123.51409,-13771.78576,-13771.78576,-14798.58965,-7028.210873,-12547.955,-6634.377879,1,9
-13804.17972,-13864.50092,-13609.40132,-13609.40132,-14634.25763,-7101.344286,-12272.13627,-6648.540265,1,9
-13577.04979,-13612.29916,-13604.75109,-13604.75109,-14454.23832,-7143.773299,-11980.53257,-6636.882508,1,9
-13359.73397,-13371.40428,-13664.58909,-13664.58909,-14267.88503,-7154.238733,-11664.45123,-6602.57677,1,9
-13131.07128,-13154.78088,-13597.73435,-13597.73435,-14066.0388,-7139.994576,-11333.57627,-6543.547583,1,9
-12899.80458,-12934.11665,-13508.85766,-13508.85766,-13866.49241,-7098.787312,-10982.24358,-6463.327389,1,9
-12642.48171,-12710.70193,-13399.23733,-13399.23733,-13650.22207,-7037.467523,-10621.13988,-6363.403679,1,9
-12361.13549,-12479.84335,-13263.81732,-13263.81732,-13425.49206,-6953.5744,-10252.41192,-6251.958647,1,9
-12065.77538,-12235.76745,-13114.34404,-13114.34404,-13170.74963,-6853.631253,-9883.765627,-6132.83436,1,9
-11760.0902,-11975.90116,-12935.66481,-12935.66481,-12889.71533,-6737.24962,-9517.922753,-6011.257321,1,9
-11434.15082,-11698.23212,-12738.52339,-12738.52339,-12592.10597,-6613.041814,-9161.307302,-5888.916265,1,9
-11097.95955,-11403.75863,-12509.10075,-12509.10075,-12280.28294,-6480.768364,-8816.737367,-5768.575623,1,9
-10744.45341,-11093.30195,-12256.75278,-12256.75278,-11944.80567,-6347.958131,-8489.408845,-5648.514841,1,9
-10384.65673,-10777.52661,-11971.56738,-11971.56738,-11597.82238,-6214.062372,-8178.457809,-5530.528389,1,9
-10020.08745,-10460.65858,-11665.85222,-11665.85222,-11232.19984,-6082.615833,-7884.712753,-5412.389616,1,9
-9658.699255,-10138.35657,-11338.47658,-11338.47658,-10858.28929,-5953.022908,-7607.16976,-5296.264414,1,9
-9302.406016,-9820.231305,-10995.81546,-10995.81546,-10477.59698,-5826.926316,-7346.1261,-5181.680134,1,9
-8957.115393,-9502.669951,-10639.07869,-10639.07869,-10097.55934,-5701.239552,-7104.086069,-5071.376577,1,9
-8624.637611,-9194.320548,-10275.7942,-10275.7942,-9721.083004,-5577.278417,-6876.52893,-4963.346699,1,9
-8309.708191,-8891.105036,-9908.649752,-9908.649752,-9355.027424,-5453.55237,-6664.155433,-4859.22708,1,9
-8010.756529,-8599.726266,-9545.977156,-9545.977156,-9000.796035,-5331.679939,-6462.813256,-4756.691842,1,9
-7728.122706,-8314.877308,-9190.33812,-9190.33812,-8662.673559,-5209.191162,-6272.96937,-4656.440544,1,9
-7460.733757,-8040.894759,-8847.750043,-8847.750043,-8341.056249,-5087.903086,-6090.797688,-4558.128941,1,9
-7209.176729,-7776.421442,-8520.72834,-8520.72834,-8038.199229,-4965.483372,-5915.442549,-4461.337364,1,9
-6975.807739,-7521.60357,-8213.557545,-8213.557545,-7752.381339,-4843.993054,-5746.81733,-4365.508283,1,9
-6756.375074,-7275.722254,-7928.922375,-7928.922375,-7483.637549,-4723.855787,-5584.536236,-4270.938368,1,9
-6551.565022,-7040.220691,-7660.760351,-7660.760351,-7234.763279,-4605.909698,-5429.471549,-4177.672507,1,9
-6357.121275,-6813.625792,-7411.001255,-7411.001255,-7000.958683,-4489.883176,-5282.734601,-4086.282293,1,9
-6173.055913,-6597.937319,-7173.441453,-7173.441453,-6783.131822,-4375.981148,-5138.989597,-3994.410224,1,9
-5995.651199,-6391.254731,-6948.358493,-6948.358493,-6576.709978,-4264.008823,-5001.071415,-3903.50484,1,9
-5825.339126,-6195.509599,-6734.619167,-6734.619167,-6381.897492,-4154.452124,-4864.431885,-3811.346685,1,9
