VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
1915.720075,1522.671537,1439.002595,1439.002595,1835.367087,2015.335568,1946.378021,2026.426051,2,9
1952.658283,1568.388916,1471.514355,1471.514355,1870.375334,2053.08412,1980.241401,2058.65296,2,9
1989.591391,1617.616877,1503.246422,1503.246422,1904.873156,2091.39883,2013.812008,2089.977583,2,9
2026.310748,1670.818254,1534.773356,1534.773356,1938.811625,2130.009074,2046.79282,2121.239547,2,9
2063.029842,1728.584635,1566.198974,1566.198974,1973.291396,2168.660302,2079.72011,2151.989742,2,9
2099.418038,1791.492851,1597.425965,1597.425965,2007.914909,2206.736232,2112.722024,2182.755932,2,9
2135.8689,1860.199297,1628.224228,1628.224228,2043.543936,2244.565162,2146.446183,2213.446096,2,9
2172.284885,1935.002251,1659.549748,1659.549748,2079.525338,2282.31848,2181.093048,2245.105099,2,9
2208.580802,2016.171194,1691.22243,1691.22243,2115.798627,2319.732593,2216.947986,2277.763934,2,9
2244.560381,2104.848332,1723.188176,1723.188176,2152.083691,2356.306752,2254.04961,2311.262638,2,9
2280.117695,2201.898652,1755.499831,1755.499831,2188.321352,2392.480804,2291.993075,2345.163042,2,9
2315.023423,2308.292141,1788.191041,1788.191041,2224.043643,2428.020151,2330.045953,2379.820542,2,9
2349.054407,2424.864188,1821.910528,1821.910528,2259.808594,2462.896883,2368.331952,2414.010942,2,9
2381.843838,2552.200965,1857.434605,1857.434605,2295.709141,2496.989235,2405.575869,2447.566501,2,9
2413.068101,2690.681195,1895.037065,1895.037065,2331.764335,2530.223513,2441.443928,2478.818002,2,9
2442.296287,2840.25599,1934.959964,1934.959964,2367.829503,2562.472679,2474.907852,2507.28619,2,9
2469.850865,3000.495844,1977.201803,1977.201803,2403.775597,2593.851568,2505.555931,2531.814027,2,9
2494.763921,3170.413986,2023.232419,2023.232419,2439.26289,2624.319597,2530.672693,2552.42816,2,9
2517.613659,3348.666654,2072.568384,2072.568384,2473.893931,2653.827877,2552.170901,2568.00257,2,9
2538.400079,3534.354294,2125.968801,2125.968801,2507.118854,2682.2873,2570.050557,2576.005752,2,9
2557.123181,3721.128836,2183.403661,2183.403661,2538.497612,2710.431393,2584.311659,2578.373796,2,9
2573.782965,3913.260734,2245.17759,2245.17759,2567.485824,2737.906236,2594.954207,2575.106702,2,9
7874.555101,4110.749989,2311.402449,2311.402449,2594.369652,2764.711831,6761.609291,2566.20447,2,9
7915.744966,4313.596599,2382.163044,2382.163044,2618.050612,2790.848176,-1583.618671,2551.6671,2,9
7440.958104,4521.800566,2457.229439,2457.229439,2639.234945,2816.315273,-8713.77072,-425.3876604,2,9
6450.194513,39397.4578,2536.22345,2536.22345,2657.922649,4702.312264,-14628.84686,-1754.833586,2,9
4943.454195,33059.86173,2618.509265,2618.509265,2674.113724,4475.455981,-19328.84708,-2934.841942,2,9
2920.737149,26977.94716,2703.754266,2703.754266,2687.808172,4105.805836,-22813.77139,-3965.412729,2,9
