VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
1455.987782,1291.162726,847.8591934,847.8591934,1208.114352,1628.943244,1361.443021,1474.627591,0,0
1492.403052,1329.907194,891.0103018,891.0103018,1246.052696,1663.784951,1395.972084,1513.421243,0,0
1527.962139,1369.281095,933.4738711,933.4738711,1283.94934,1698.797518,1430.551436,1551.845618,0,0
1563.570206,1408.807876,974.8818961,974.8818961,1321.677549,1733.365014,1464.670127,1589.633952,0,0
1599.038581,1448.130747,1015.326203,1015.326203,1359.073408,1768.277157,1499.402091,1626.687587,0,0
1634.228728,1486.595655,1054.450954,1054.450954,1396.025418,1803.048263,1533.977001,1662.89565,0,0
1668.821001,1524.651592,1091.619776,1091.619776,1432.431653,1838.342587,1569.473966,1698.319609,0,0
1702.944801,1562.474463,1127.59336,1127.59336,1469.361256,1873.97618,1605.583676,1732.761868,0,0
1736.386116,1599.982904,1161.914367,1161.914367,1506.153507,1909.305663,1642.287593,1765.899753,0,0
1770.173542,1637.093249,1195.798436,1195.798436,1543.724564,1944.17126,1679.337749,1798.511531,0,0
1803.724017,1673.690327,1229.401119,1229.401119,1581.267856,1978.706937,1716.561236,1830.242363,0,0
1837.951404,1709.521706,1262.862426,1262.862426,1619.684894,2012.372539,1753.610355,1861.888248,0,0
1872.24416,1744.112983,1296.310656,1296.310656,1658.106396,2046.003159,1790.442675,1892.780974,0,0
1907.452392,1778.284604,1329.961821,1329.961821,1696.74826,2079.049733,1826.746985,1923.545499,0,0
1942.774683,1811.610887,1364.039303,1364.039303,1735.589566,2112.500959,1862.316431,1953.737235,0,0
1978.121129,1844.923336,1398.309795,1398.309795,1774.752959,2145.910536,1896.722677,1983.989191,0,0
2013.213421,1877.919288,1432.353358,1432.353358,1814.118857,2180.30718,1930.357595,2013.892045,0,0
2048.424638,1911.376018,1466.945515,1466.945515,1853.547136,2215.328233,1963.341568,2043.080446,0,0
2083.792852,1945.241171,1501.288495,1501.288495,1892.751765,2250.717014,1994.957543,2071.617254,0,0
2119.189883,1979.361594,1536.475101,1536.475101,1931.676923,2286.091122,2025.947217,2100.333119,0,0
2154.46675,2013.237917,1571.96159,1571.96159,1970.048743,2321.509978,2055.929569,2128.607372,0,0
2189.639807,2047.157874,1607.557097,1607.557097,2007.841754,2356.75695,2085.459244,2157.309048,0,0
2224.267932,2079.410883,1642.934856,1642.934856,2044.936872,2391.852007,2114.702135,2185.629758,0,0
