Acetic acid,Nonanal,Decanoic acid,Heptanal,Hexanal,Decanal,2-Octanone,True_Stress,True_Period
0.37804943,0.24999973,0.3719506,1.5652253e-07,6.7518196e-12,8.420101e-10,1.14295354e-07,1,0
0.3780138,0.24999985,0.3719862,7.724306e-08,1.4245345e-12,9.953038e-10,4.4106837e-08,1,0
0.37210262,0.24999692,0.3778973,2.710197e-06,1.3426913e-09,8.840176e-08,3.785557e-07,1,4
0.3759308,0.24999976,0.3740692,2.0736938e-07,5.6435993e-12,3.7596544e-09,3.252596e-08,1,4
0.3793497,0.25,0.3706503,3.9314947e-09,8.1239594e-14,2.950151e-11,3.161914e-10,1,4
0.37060523,0.24999319,0.37939435,6.1416467e-06,6.852183e-09,2.618972e-07,8.116695e-07,1,4
0.3793497,0.25,0.3706503,3.9314947e-09,8.1239594e-14,2.950151e-11,3.161914e-10,1,4
0.3759308,0.24999976,0.3740692,2.0736938e-07,5.6435993e-12,3.7596544e-09,3.252596e-08,1,4
0.37121496,0.24998538,0.37878495,1.2369315e-05,5.80299e-09,5.642503e-07,1.775123e-06,1,4
0.37610304,0.25,0.37389696,7.0942927e-09,8.0480094e-13,4.5281934e-11,1.7702836e-09,1,4
0.37717688,0.25,0.37282312,7.867854e-10,2.5563688e-14,2.3345176e-12,5.8203947e-10,1,4
0.37610304,0.25,0.37389696,7.0942927e-09,8.0480094e-13,4.5281934e-11,1.7702836e-09,1,4
0.37503892,0.24999997,0.37496105,2.6170502e-08,6.1214206e-12,1.6024561e-10,5.498344e-09,1,1
0.37503892,0.24999997,0.37496105,2.6170502e-08,6.1214206e-12,1.6024561e-10,5.498344e-09,1,1
0.3757416,0.2499992,0.37425837,6.1037605e-07,2.7393803e-12,3.7494554e-09,2.1426645e-07,1,1
0.3705588,0.24999309,0.37944123,5.124431e-06,5.1832755e-10,3.9180733e-08,1.7614472e-06,1,1
0.3757416,0.2499992,0.37425837,6.1037605e-07,2.7393803e-12,3.7494554e-09,2.1426645e-07,1,1
0.37418777,0.2499972,0.3758123,2.0493064e-06,4.9837898e-11,1.4486241e-08,7.4198795e-07,1,1
0.37529445,0.2499946,0.37470558,3.423802e-06,4.4432125e-11,1.761686e-08,1.9245194e-06,1,1
0.3757416,0.2499992,0.37425837,6.1037605e-07,2.7393803e-12,3.7494554e-09,2.1426645e-07,1,1
0.37418777,0.2499972,0.3758123,2.0493064e-06,4.9837898e-11,1.4486241e-08,7.4198795e-07,1,1
0.3626964,0.25002047,0.3872049,3.5018522e-05,1.3033947e-06,6.1469946e-06,3.5801e-05,1,2
0.36678988,0.24999784,0.3832093,2.236773e-06,6.220778e-08,3.253544e-07,3.8741916e-07,1,2
0.37071332,0.25000077,0.37928316,1.242644e-06,9.2354915e-09,2.7856252e-08,1.4258923e-06,1,2
0.36678988,0.24999784,0.3832093,2.236773e-06,6.220778e-08,3.253544e-07,3.8741916e-07,1,2
0.36864573,0.2500001,0.3813532,5.51079e-07,9.083959e-09,4.3808733e-08,4.316763e-07,1,2
0.36864573,0.2500001,0.3813532,5.51079e-07,9.083959e-09,4.3808733e-08,4.316763e-07,1,2
0.36576074,0.24997479,0.38423902,2.1546035e-05,5.170345e-08,1.4380581e-06,2.3838718e-06,1,2
0.3732822,0.2499995,0.3767178,3.9115534e-07,6.1918734e-11,1.6178397e-08,7.962601e-08,1,2
0.37313396,0.24999806,0.3768661,1.6199142e-06,2.456991e-10,7.089823e-08,2.616693e-07,1,2
0.3779394,0.25,0.3720606,1.9909305e-10,3.6901304e-15,7.150001e-13,4.6195943e-11,1,3
0.37539986,0.24999976,0.37460017,2.3520681e-07,1.9175077e-10,1.425407e-08,7.826609e-09,1,3
0.37519673,0.24999999,0.3748032,5.1129405e-08,1.9613802e-10,2.0501427e-09,1.4082333e-08,1,3
0.3730449,0.2499994,0.37695515,5.8337645e-07,4.2371454e-10,2.092673e-08,1.7861147e-08,1,3
0.37519673,0.24999999,0.3748032,5.1129405e-08,1.9613802e-10,2.0501427e-09,1.4082333e-08,1,3
0.3730449,0.2499994,0.37695515,5.8337645e-07,4.2371454e-10,2.092673e-08,1.7861147e-08,1,3
0.3695714,0.24999653,0.38042852,3.2666173e-06,7.2010926e-09,1.8584858e-07,8.9174826e-08,1,3
0.37046605,0.24999219,0.37953386,6.991987e-06,9.463172e-09,6.732038e-07,2.0368024e-07,1,3
0.37311473,0.25000033,0.37688377,5.1977844e-07,2.7805402e-10,1.9546136e-09,6.1633125e-07,1,3
0.37060243,0.25003687,0.37924504,5.2260624e-05,6.6604957e-09,8.094231e-07,6.262443e-05,1,3
0.3695714,0.24999653,0.38042852,3.2666173e-06,7.2010926e-09,1.8584858e-07,8.9174826e-08,1,3
0.37046605,0.24999219,0.37953386,6.991987e-06,9.463172e-09,6.732038e-07,2.0368024e-07,1,3
