window_id,t_start_s,t_end_s,t_center_s,pred_period,p_stress,p_normal,p_stress_bin,p_stress_bin_smooth
175,4350,5349.5,4849.75,0,0.044102613,0.52284646,0.077789374,0.338228364
176,4375,5374.5,4874.75,12,0.325833738,0.066559568,0.830375433,0.436657778
177,4400,5399.5,4899.75,12,0.335656524,0.053376161,0.862797737,0.52188577
178,4425,5424.5,4924.75,0,0.052277092,0.511041939,0.092801929,0.436069001
179,4450,5449.5,4949.75,0,0.090049095,0.391552329,0.186978474,0.386250896
180,4475,5474.5,4974.75,12,0.388411552,0.053344242,0.879244924,0.484849701
181,4500,5499.5,4999.75,6,0.104348823,0.244915798,0.298767239,0.447633209
182,4525,5524.5,5024.75,0,0.052184589,0.51680243,0.091714904,0.376449548
183,4550,5549.5,5049.75,0,0.127037421,0.271441638,0.318805784,0.364920795
184,4575,5574.5,5074.75,12,0.382644385,0.051690884,0.880988538,0.468134344
185,4600,5599.5,5099.75,0,0.085086294,0.349476755,0.195797354,0.413666946
186,4625,5624.5,5124.75,0,0.039560508,0.549335718,0.067177385,0.344369034
187,4650,5649.5,5149.75,6,0.181726694,0.224005058,0.447898656,0.365074958
188,4675,5674.5,5174.75,12,0.386490732,0.053277794,0.8788504,0.467830047
189,4700,5699.5,5199.75,0,0.060964439,0.483382374,0.111995585,0.396663154
190,4725,5724.5,5224.75,0,0.046295974,0.528431952,0.080552846,0.333441093
191,4750,5749.5,5249.75,9,0.245991543,0.132991329,0.649083555,0.396569585
192,4775,5774.5,5274.75,12,0.401275873,0.066471636,0.857889891,0.488833646
193,4800,5799.5,5299.75,0,0.055673592,0.501120925,0.099989474,0.411064812
194,4825,5824.5,5324.75,0,0.044984169,0.519443214,0.079698771,0.344791604
195,4850,5849.5,5349.75,12,0.364075333,0.066531271,0.845494092,0.444932101
196,4875,5874.5,5374.75,9,0.30167073,0.055226002,0.845260561,0.524997793
197,4900,5899.5,5399.75,0,0.052790593,0.510609448,0.093700022,0.438738239
198,4925,5924.5,5424.75,0,0.103917599,0.342926621,0.232558891,0.397502369
199,4950,5949.5,5449.75,12,0.393537015,0.053940862,0.879455805,0.493893056
200,4975,5974.5,5474.75,9,0.207145065,0.137395725,0.601220727,0.51535859
201,5000,5999.5,5499.75,0,0.050332583,0.521124899,0.08807756,0.429902384
202,5025,6024.5,5524.75,0,0.127890855,0.270260602,0.321211576,0.408164223
203,5050,6049.5,5549.75,12,0.385781288,0.05235697,0.88050127,0.502631632
204,5075,6074.5,5574.75,0,0.085438408,0.35015738,0.196141496,0.441333605
205,5100,6099.5,5599.75,0,0.035612788,0.554880261,0.060310259,0.365128936
206,5125,6124.5,5624.75,6,0.202808186,0.199827328,0.503701687,0.392843486
207,5150,6149.5,5649.75,12,0.38292712,0.053138185,0.878141642,0.489903117
208,5175,6174.5,5674.75,0,0.060430855,0.486470282,0.110496856,0.414021865
209,5200,6199.5,5699.75,0,0.05729701,0.491345495,0.10443414,0.35210432
210,5225,6224.5,5724.75,9,0.291478992,0.096279651,0.75170213,0.432023882
211,5250,6249.5,5749.75,12,0.402640074,0.068681523,0.854278862,0.516474878
212,5275,6274.5,5774.75,0,0.054140303,0.505139768,0.096803561,0.432540615
213,5300,6299.5,5799.75,0,0.04708958,0.512574077,0.084139071,0.362860306
214,5325,6324.5,5824.75,12,0.357386112,0.054480962,0.867721975,0.46383264
215,5350,6349.5,5849.75,9,0.255140007,0.066990174,0.79204005,0.529474122
216,5375,6374.5,5874.75,0,0.053247117,0.511653841,0.09425921,0.442431139
217,5400,6399.5,5899.75,0,0.109785587,0.322710574,0.253841758,0.404713263
218,5425,6424.5,5924.75,12,0.393613428,0.053528823,0.880286813,0.499827973
219,5450,6449.5,5949.75,9,0.321263909,0.055642672,0.852370143,0.570336407
220,5475,6474.5,5974.75,0,0.03807744,0.552672088,0.06445615,0.469160356
221,5500,6499.5,5999.75,0,0.132011831,0.270449162,0.328011483,0.440930581
222,5525,6524.5,6024.75,12,0.388857991,0.053073671,0.879905224,0.52872551
223,5550,6549.5,6049.75,0,0.072308585,0.409290224,0.150142789,0.453008965
224,5575,6574.5,6074.75,0,0.034724139,0.559869528,0.058399782,0.374087129
225,5600,6599.5,6099.75,12,0.337908417,0.129159838,0.723466873,0.443963078
226,5625,6624.5,6124.75,12,0.383522838,0.054173514,0.876230419,0.530416546
227,5650,6649.5,6149.75,0,0.059996504,0.488691479,0.109345391,0.446202315
228,5675,6674.5,6174.75,0,0.056338318,0.486746967,0.103737518,0.377709356
229,5700,6699.5,6199.75,12,0.329664946,0.056393217,0.853925645,0.472952614
230,5725,6724.5,6224.75,12,0.39540115,0.069683865,0.850169599,0.548396011
231,5750,6749.5,6249.75,0,0.053258915,0.507926464,0.094904318,0.457697672
232,5775,6774.5,6274.75,0,0.05138341,0.499396145,0.093292147,0.384816567
233,5800,6799.5,6299.75,12,0.36083895,0.056257021,0.865122139,0.480877682
234,5825,6824.5,6324.75,9,0.288587272,0.052355275,0.84643954,0.553990053
235,5850,6849.5,6349.75,0,0.053607803,0.512490928,0.094696909,0.462131425
236,5875,6874.5,6374.75,0,0.116482705,0.296705335,0.281912088,0.426087557
237,5900,6899.5,6399.75,12,0.380940348,0.051558297,0.880789697,0.517027985
238,5925,6924.5,6424.75,9,0.313210249,0.058342401,0.842976749,0.582217738
239,5950,6949.5,6449.75,0,0.031060314,0.573114753,0.051409457,0.476056082
240,5975,6974.5,6474.75,0,0.136306643,0.269015372,0.336292237,0.448103313
241,6000,6999.5,6499.75,12,0.390235573,0.053865995,0.878707945,0.534224239
242,6025,7024.5,6524.75,9,0.333941817,0.048984464,0.872078598,0.601795111
243,6050,7049.5,6549.75,0,0.034953825,0.558333457,0.058915514,0.493219192
244,6075,7074.5,6574.75,12,0.351648241,0.127240852,0.734299958,0.541435345
245,6100,7099.5,6599.75,12,0.378923118,0.053157635,0.876972914,0.608542859
246,6125,7124.5,6624.75,0,0.058783203,0.493070006,0.106519639,0.508138215
247,6150,7149.5,6649.75,0,0.089133888,0.386970907,0.187214851,0.443953542
248,6175,7174.5,6674.75,12,0.333291918,0.064858221,0.837101102,0.522583054
249,6200,7199.5,6699.75,12,0.332649052,0.058496006,0.850449324,0.588156308
250,6225,7224.5,6724.75,0,0.052673042,0.509099722,0.093762182,0.489277483
251,6250,7249.5,6749.75,0,0.059713304,0.476642251,0.111331567,0.4136883
252,6275,7274.5,6774.75,9,0.320047826,0.052303594,0.859531641,0.502856968
253,6300,7299.5,6799.75,9,0.278276712,0.054528158,0.836155772,0.569516729
254,6325,7324.5,6824.75,0,0.054424103,0.512641191,0.095975019,0.474808387
255,6350,7349.5,6849.75,0,0.121458538,0.280288637,0.302325815,0.440311872
256,6375,7374.5,6874.75,12,0.379442275,0.050814383,0.881897509,0.528629
257,6400,7399.5,6899.75,9,0.294516861,0.079599641,0.787232995,0.580349799
258,6425,7424.5,6924.75,0,0.032313172,0.558368146,0.054704916,0.475220822
259,6450,7449.5,6949.75,0,0.141285896,0.264277846,0.348369151,0.449850488
260,6475,7474.5,6974.75,12,0.389819175,0.053700909,0.878921151,0.535664621
261,6500,7499.5,6999.75,0,0.060406957,0.479351103,0.111914873,0.450914671
262,6525,7524.5,7024.75,0,0.036858622,0.555802286,0.062191755,0.373170088
263,6550,7549.5,7049.75,12,0.340356141,0.140143752,0.708337605,0.440203591
264,6575,7574.5,7074.75,12,0.377001464,0.054154538,0.874396861,0.527042245
265,6600,7599.5,7099.75,0,0.057778295,0.495776266,0.104376882,0.442509173
266,6625,7624.5,7124.75,0,0.046407048,0.515015244,0.082659788,0.370539296
267,6650,7649.5,7149.75,12,0.3056041,0.083786786,0.78482604,0.453396645
268,6675,7674.5,7174.75,12,0.367683023,0.063917235,0.851906359,0.533098588
269,6700,7699.5,7199.75,0,0.052110244,0.510727704,0.092584804,0.444995831
270,6725,7724.5,7224.75,0,0.070727222,0.448536843,0.136206657,0.383237996
271,6750,7749.5,7249.75,12,0.37052536,0.053079482,0.874695778,0.481529552
272,6775,7774.5,7274.75,6,0.235915959,0.131633043,0.641862631,0.513596168
273,6800,7799.5,7299.75,0,0.05328412,0.51492542,0.093775481,0.429632031
274,6825,7824.5,7324.75,0,0.123871304,0.275538981,0.310135484,0.405732721
275,6850,7849.5,7349.75,12,0.379367054,0.050772302,0.881963134,0.500978804
276,6875,7874.5,7374.75,6,0.117963418,0.255534053,0.315834582,0.463949959
277,6900,7899.5,7399.75,0,0.050526924,0.516812861,0.089059375,0.388971843
278,6925,7924.5,7424.75,0,0.147410423,0.260190666,0.361653656,0.383508205
279,6950,7949.5,7449.75,12,0.388368249,0.053628955,0.878666759,0.482539916
280,6975,7974.5,7474.75,0,0.060570009,0.481653154,0.111706793,0.408373291
281,7000,7999.5,7499.75,0,0.037899774,0.552899361,0.064150013,0.339528636
282,7025,8024.5,7524.75,6,0.231865197,0.147674412,0.610911727,0.393805254
283,7050,8049.5,7549.75,12,0.382117778,0.05642008,0.871344984,0.4893132
284,7075,8074.5,7574.75,0,0.056731865,0.498641849,0.10215079,0.411880718
285,7100,8099.5,7599.75,0,0.043908086,0.523345888,0.077404633,0.344985501
286,7125,8124.5,7624.75,12,0.309973121,0.074602619,0.806013227,0.437191046
287,7150,8149.5,7649.75,12,0.344759732,0.054950144,0.862524927,0.522257822
288,7175,8174.5,7674.75,0,0.052298766,0.510157704,0.092982776,0.436402813
289,7200,8199.5,7699.75,0,0.08363729,0.411949992,0.168763995,0.382875049
290,7225,8224.5,7724.75,12,0.383415341,0.053368069,0.877815723,0.481863184
291,7250,8249.5,7749.75,6,0.114992186,0.228616759,0.334660053,0.452422558
292,7275,8274.5,7774.75,0,0.052880015,0.514919221,0.093131542,0.380564355
293,7300,8299.5,7799.75,0,0.125509724,0.271829814,0.315875262,0.367626536
294,7325,8324.5,7824.75,12,0.381698579,0.051485151,0.881147087,0.470330646
295,7350,8349.5,7849.75,0,0.096104823,0.301790357,0.241533011,0.424571119
296,7375,8374.5,7874.75,0,0.041104797,0.546489835,0.069954343,0.353647764
297,7400,8399.5,7899.75,0,0.16932489,0.238651723,0.415035754,0.365925362
298,7425,8424.5,7924.75,12,0.387844741,0.053348545,0.879081249,0.46855654
299,7450,8449.5,7949.75,0,0.06109805,0.482659012,0.112362765,0.397317785
300,7475,8474.5,7974.75,0,0.042037159,0.542443991,0.071922183,0.332238664
301,7500,8499.5,7999.75,9,0.23669593,0.140968516,0.626736045,0.39113814
302,7525,8524.5,8024.75,12,0.39436087,0.063699104,0.860937238,0.48509796
303,7550,8549.5,8049.75,0,0.056576967,0.49902913,0.101829268,0.408444222
304,7575,8574.5,8074.75,0,0.044064615,0.52257359,0.077764988,0.342308375
305,7600,8599.5,8099.75,12,0.353848249,0.068215668,0.838375986,0.441521897
306,7625,8624.5,8124.75,9,0.323680162,0.053816035,0.857439578,0.524705433
307,7650,8649.5,8149.75,0,0.052741472,0.509985626,0.09372478,0.438509302
308,7675,8674.5,8174.75,0,0.101790808,0.349715292,0.225447252,0.395896892
309,7700,8699.5,8199.75,12,0.390000761,0.053732272,0.878908575,0.492499229
310,7725,8724.5,8224.75,6,0.103181355,0.239535227,0.301069051,0.454213193
311,7750,8749.5,8249.75,0,0.052059855,0.517058432,0.091474585,0.381665472
312,7775,8774.5,8274.75,0,0.128350496,0.269842923,0.322332025,0.369798782
313,7800,8799.5,8299.75,12,0.382897258,0.05170593,0.881027281,0.472044482
314,7825,8824.5,8324.75,0,0.090784885,0.328489304,0.216528684,0.420941322
315,7850,8849.5,8349.75,0,0.038222201,0.5502069,0.064956345,0.349744327
316,7875,8874.5,8374.75,6,0.187119752,0.212794885,0.467899263,0.373375314
317,7900,8899.5,8399.75,12,0.385504901,0.053157996,0.878818154,0.474463882
318,7925,8924.5,8424.75,0,0.060822621,0.484824061,0.111468874,0.40186488
319,7950,8949.5,8449.75,0,0.049760345,0.519481719,0.087415092,0.338974923
320,7975,8974.5,8474.75,9,0.272830039,0.10950277,0.713593066,0.413898551
321,8000,8999.5,8499.75,12,0.39743048,0.065697409,0.858144164,0.502747674
322,8025,9024.5,8524.75,0,0.055533927,0.501543224,0.099688031,0.422135745
323,8050,9049.5,8549.75,0,0.045776065,0.516746104,0.081376463,0.353983889
324,8075,9074.5,8574.75,12,0.362402558,0.061464641,0.85499084,0.454185279
325,8100,9099.5,8599.75,9,0.283153057,0.057121526,0.832131088,0.529774441
326,8125,9124.5,8624.75,0,0.053433292,0.509454966,0.094926998,0.442804952
327,8150,9149.5,8649.75,0,0.107773423,0.328671634,0.246934682,0.403630898
328,8175,9174.5,8674.75,12,0.392079383,0.053210169,0.88050431,0.499005581
329,8200,9199.5,8699.75,9,0.248287961,0.103775904,0.7052356,0.540251585
330,8225,9224.5,8724.75,0,0.04606102,0.532173693,0.079657994,0.448132867
331,8250,9249.5,8749.75,0,0.129572198,0.271229833,0.323282301,0.423162753
332,8275,9274.5,8774.75,12,0.386191666,0.052667528,0.879989922,0.514528187
333,8300,9299.5,8799.75,0,0.082885049,0.361156672,0.186660498,0.448954649
334,8325,9324.5,8824.75,0,0.035363641,0.55531615,0.059869397,0.371137599
335,8350,9349.5,8849.75,12,0.238884211,0.168459207,0.586444259,0.414198931
336,8375,9374.5,8874.75,12,0.380058855,0.052625347,0.878374696,0.507034084
337,8400,9399.5,8899.75,0,0.060086481,0.488522708,0.109525107,0.427532289
338,8425,9424.5,8924.75,0,0.057153355,0.489752203,0.104503147,0.36292646
